Domain,Topics,Score
totalprosports.com,Sports and athletics,70.0
fansided.com,Sports and athletics,87.5
si.com,Sports and athletics,82.5
nbcsports.com,Sports and athletics,95.0
sports.yahoo.com,Sports and athletics,75.0
theringer.com,Sports and athletics,92.5
clutchpoints.com,Sports and athletics,92.5
deadspin.com,Sports and athletics,72.5
sbnation.com,Sports and athletics,100.0
outsideonline.com,Sports and athletics,80.0
cbssports.com,Sports and athletics,82.5
nogeoingegneria.com,Conspiracy theories or hoaxes,7.5
databaseitalia.it,Conspiracy theories or hoaxes,25.0
realrawnews.com,Conspiracy theories or hoaxes,7.5
qanon.pub,Conspiracy theories or hoaxes,17.5
profession-gendarme.com,Conspiracy theories or hoaxes,20.0
prankmania.com,Conspiracy theories or hoaxes,20.0
brujitafr.fr,Conspiracy theories or hoaxes,7.5
crashdebug.fr,Conspiracy theories or hoaxes,7.5
south-eastjournal.com,Conspiracy theories or hoaxes,12.5
arizonanewspress24.site,Conspiracy theories or hoaxes,7.5
thepoliticalvoice.com,Conspiracy theories or hoaxes,29.5
americanjournalreview.com,Conspiracy theories or hoaxes,7.5
thelibertytimes.com,Conspiracy theories or hoaxes,29.5
my-washingtonpost.com,Conspiracy theories or hoaxes,20.0
breaking13news.com,Conspiracy theories or hoaxes,20.0
theamericanmirror.com,Conspiracy theories or hoaxes,22.0
theweeklyobserver.com,Conspiracy theories or hoaxes,20.0
thescienceandspace.com,Conspiracy theories or hoaxes,20.0
akalaat4day.com,Conspiracy theories or hoaxes,7.5
hannity.com,Conspiracy theories or hoaxes,39.5
breizh-info.com,Conspiracy theories or hoaxes,5.0
lesmoutonsrebelles.com,Conspiracy theories or hoaxes,7.5
lesmoutonsenrages.fr,Conspiracy theories or hoaxes,20.0
dissept.com,Conspiracy theories or hoaxes,7.5
exoportail.com,Conspiracy theories or hoaxes,7.5
nouvelordremondial.cc,Conspiracy theories or hoaxes,7.5
skytg24news.it,Conspiracy theories or hoaxes,7.5
bongino.com,Conspiracy theories or hoaxes,49.5
trendingpolitics.com,Conspiracy theories or hoaxes,39.5
americangulag.org,Conspiracy theories or hoaxes,7.5
paulcraigroberts.org,Conspiracy theories or hoaxes,20.0
qactus.fr,Conspiracy theories or hoaxes,7.5
giantfreakinrobot.com,Conspiracy theories or hoaxes,72.5
covid19refusers.com,Conspiracy theories or hoaxes,25.0
thecovidblog.com,Conspiracy theories or hoaxes,20.0
darkoutpost.com,Conspiracy theories or hoaxes,7.5
news4ktla.com,Conspiracy theories or hoaxes,12.5
now8news.com,Conspiracy theories or hoaxes,20.0
plandemicseries.com,Conspiracy theories or hoaxes,35.0
georgiarecord.com,Conspiracy theories or hoaxes,0.0
jedanews.com,Conspiracy theories or hoaxes,12.5
franbuzz.fr,Conspiracy theories or hoaxes,52.0
alnas.fr,Conspiracy theories or hoaxes,20.0
fabiosa.fr,Conspiracy theories or hoaxes,27.5
